Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Male,Geography,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F16
Female,Interdisciplinary Studies,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Beach,F16
Male,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,F16
Female,Mathematics,ISFJ,Introvert,Sensing,Feeling,Judging,6,Mountains,F16
Female,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F16
Female,Mathematics,ISTP,Introvert,Sensing,Thinking,Perceiving,5,Beach,F16
Female,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,5,Beach,F16
Female,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,F16
Male,Mathematics,ENTJ,Extravert,Intuitive,Thinking,Judging,7,Beach,F16
Female,Mathematics,ENTJ,Extravert,Intuitive,Thinking,Judging,6,Mountains,F16
Male,Mathematics,INTP,Introvert,Intuitive,Thinking,Perceiving,5,Beach,F16
Male,Mathematics,INTP,Introvert,Intuitive,Thinking,Perceiving,6,Mountains,F16
Male,Mathematics,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Mountains,F16
Male,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F16
Male,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,6,Beach,F16
Female,Mathematics,ISTJ,Introvert,Sensing,Thinking,Judging,4,Mountains,F16
Female,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F16
Male,Physics,ENTJ,Extravert,Intuitive,Thinking,Judging,6,Mountains,F16
Female,Psychology,INFP,Introvert,Intuitive,Feeling,Perceiving,6,Mountains,F16
